Theme;Numero Controleur;Index;Groupe;Repere;Libelle;Type
AxePosition;0;0;2;Rotation griffe analyse;Etats1;Bools
AxePosition;0;1;2;Rotation griffe analyse;Etats2;Bools
AxePosition;0;2;2;Rotation griffe analyse;Position;Real
AxePosition;0;3;2;Rotation griffe analyse;Vitesse;Int32
AxePosition;0;0;3;Mise à longueur quai arrière;Etats1;Bools
AxePosition;0;1;3;Mise à longueur quai arrière;Etats2;Bools
AxePosition;0;2;3;Mise à longueur quai arrière;Position;Real
AxePosition;0;3;3;Mise à longueur quai arrière;Vitesse;Int32
;;;;;;
AxeVitesse;0;0;0;Convoyeur entrée;Etats;Bools
AxeVitesse;0;1;0;Convoyeur entrée;Intensité;Int32
AxeVitesse;0;2;0;Convoyeur entrée;Vitesse;Int32
;;;;;;
AxeServoVitesse;0;0;0;Entrainement Guides MasterTwin;Etats;Bools
AxeServoVitesse;0;1;0;Entrainement Guides MasterTwin;Reserve;Int32
AxeServoVitesse;0;2;0;Entrainement Guides MasterTwin;Vitesse;Int32
AxeServoVitesse;0;0;1;Griffe arrière;Etats;Bools
AxeServoVitesse;0;1;1;Griffe arrière;Reserve;Int32
AxeServoVitesse;0;2;1;Griffe arrière;Vitesse;Int32
;;;;;;
Cycle;0;0;0;Analyse;Grafcet - Etat;Bools
Cycle;0;1;0;Analyse;Grafcet - Valeur;Int32
Cycle;0;0;1;Chargement;Grafcet - Etat;Bools
Cycle;0;1;1;Chargement;Grafcet - Valeur;Int32
Cycle;0;0;2;Sciage;Grafcet - Etat;Bools
Cycle;0;1;2;Sciage;Grafcet - Valeur;Int32
Cycle;0;0;3;Planche;Grafcet - Etat;Bools
Cycle;0;1;3;Planche;Grafcet - Valeur;Int32
Cycle;0;0;4;Fin de sciage;Grafcet - Etat;Bools
Cycle;0;1;4;Fin de sciage;Grafcet - Valeur;Int32
Cycle;0;0;5;Rechargement;Grafcet - Etat;Bools
Cycle;0;1;5;Rechargement;Grafcet - Valeur;Int32
Cycle;0;0;6;Chargement grume étalon;Grafcet - Etat;Bools
Cycle;0;1;6;Chargement grume étalon;Grafcet - Valeur;Int32
;;;;;;
Messagerie;0;0;;Defauts;;Bools
Messagerie;0;1;;Defauts;;Bools
Messagerie;0;2;;Defauts;;Bools
Messagerie;0;3;;Defauts;;Bools
Messagerie;0;4;;Defauts;;Bools
Messagerie;0;5;;Defauts;;Bools
Messagerie;0;6;;Defauts;;Bools
Messagerie;0;7;;Defauts;;Bools
Messagerie;0;8;;Defauts;;Bools
Messagerie;0;9;;Defauts;;Bools
Messagerie;0;10;;Defauts;;Bools
Messagerie;0;11;;Defauts;;Bools
Messagerie;0;12;;Defauts;;Bools
Messagerie;0;13;;Defauts;;Bools
Messagerie;0;14;;Defauts;;Bools
Messagerie;0;15;;Defauts;;Bools
Messagerie;0;0;;Alarme;;Bools
Messagerie;0;1;;Alarme;;Bools
Messagerie;0;2;;Alarme;;Bools
Messagerie;0;3;;Alarme;;Bools
Messagerie;0;4;;Alarme;;Bools
Messagerie;0;5;;Alarme;;Bools
Messagerie;0;6;;Alarme;;Bools
Messagerie;0;7;;Alarme;;Bools
Messagerie;0;8;;Alarme;;Bools
Messagerie;0;9;;Alarme;;Bools
Messagerie;0;10;;Alarme;;Bools
Messagerie;0;11;;Alarme;;Bools
Messagerie;0;12;;Alarme;;Bools
Messagerie;0;13;;Alarme;;Bools
Messagerie;0;14;;Alarme;;Bools
Messagerie;0;15;;Alarme;;Bools
